step,formula,score,accepted,seed
58,BaHfI3,0.12446465432720251,False,EuTiS3
59,BaHfS3,-0.0017313920365326545,True,EuTiS3
60,RbHfS3,0.13294310616667515,False,EuTiS3
61,BaHfS3,-0.0017313920365326545,True,EuTiS3
62,BaHfS3,-0.0017313920365326545,True,EuTiS3
63,BaSnS3,0.01591427795791375,True,EuTiS3
64,BaSnS3,0.01591427795791375,True,EuTiS3
65,BaZrS3,-0.0012171200612694428,True,EuTiS3
66,BaZrTe3,-0.008033227126264725,True,EuTiS3
67,EuZrTe3,0.04228612690865628,True,EuTiS3
68,EuZnTe3,0.023077600134489198,True,EuTiS3
69,EuZnBr3,0.0591957341496681,False,EuTiS3
70,EuZnCl3,0.1001317945639274,True,EuTiS3
71,EuZnSe3,0.04804032916319988,True,EuTiS3
72,CaZnSe3,0.023771063563958354,True,EuTiS3
73,KZnSe3,0.01275242826917389,True,EuTiS3
74,KZnTe3,0.03430311841227929,True,EuTiS3
75,KPbTe3,0.022865471481849284,True,EuTiS3
76,CsPbTe3,0.005148408554199233,True,EuTiS3
77,LaPbTe3,0.021777412570809986,True,EuTiS3
78,LaPbI3,0.06771495234346799,True,EuTiS3
79,CaPbI3,0.03216139581297606,True,EuTiS3
80,CaPbSe3,-0.002932770238289288,True,EuTiS3
81,CaZnSe3,0.023771063563958354,True,EuTiS3
82,YZnSe3,0.04094218058250773,True,EuTiS3
83,YMgSe3,0.22024445054423963,True,EuTiS3
84,YMgSe3,0.22024445054423963,True,EuTiS3
85,YSnSe3,0.029299929441011452,True,EuTiS3
86,YSnI3,0.05706185015050024,False,EuTiS3
87,YSnSe3,0.029299929441011452,True,EuTiS3
88,CsSnSe3,-0.0008702646254689946,True,EuTiS3
89,CsSnTe3,-0.008289822649299568,True,EuTiS3
90,CsZrTe3,0.024598249040112204,False,EuTiS3
91,CsSnSe3,-0.0008702646254689946,True,EuTiS3
92,CaSnSe3,-0.017047749815511673,True,EuTiS3
93,CaSnSe3,-0.017047749815511673,True,EuTiS3
94,CaHfSe3,0.004242223047116188,True,EuTiS3
95,CaGeSe3,-0.017677175716535147,True,EuTiS3
96,CaGeSe3,-0.017677175716535147,True,EuTiS3
97,KGeSe3,-0.014519060964313777,True,EuTiS3
98,KGeTe3,-0.007638349756180742,True,EuTiS3
99,KGeBr3,5.055210765175455e-05,True,EuTiS3
